,t1_towerKills,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_towerKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
48684,7,1,2,1,6,1,3,0,1,1,2,1,1,0,1
48685,5,0,0,0,10,3,1,1,2,1,2,2,2,2,2
48686,7,1,0,0,7,1,4,1,2,2,1,2,2,0,2
48687,8,1,2,1,11,3,2,0,1,2,2,1,2,2,2
48688,9,2,1,1,3,0,2,0,2,2,1,1,2,2,1
48689,0,0,0,0,2,0,1,0,2,2,0,0,2,0,2
48690,2,0,0,0,10,2,3,1,2,2,2,2,2,0,2
48691,9,2,1,0,4,0,2,0,2,1,1,0,2,2,1
48692,1,0,0,0,9,1,2,1,2,2,2,2,2,0,2
48693,3,0,0,0,10,2,3,0,2,1,2,0,2,1,2
48694,0,0,0,0,11,4,2,1,2,2,2,2,2,2,2
48695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
48696,1,0,0,0,8,1,2,0,2,2,2,0,2,0,2
48697,7,1,0,0,3,0,2,0,2,1,1,0,2,2,1
48698,2,0,1,0,11,3,2,1,1,2,2,2,2,2,2
48699,3,0,1,0,8,1,1,0,2,2,2,0,2,0,2
48700,6,0,1,1,8,1,3,0,1,1,2,1,2,0,2
48701,3,0,1,1,10,2,3,1,2,2,2,1,2,2,2
48702,10,3,2,0,1,0,0,0,1,1,1,0,1,0,1
48703,0,0,0,0,11,3,1,0,1,2,2,0,2,2,2
48704,10,2,2,0,3,0,1,0,1,1,1,0,2,0,1
48705,3,0,3,0,10,2,1,1,1,1,2,2,1,0,2
48706,1,0,0,0,10,2,2,0,1,2,2,0,2,0,2
48707,10,2,2,0,1,0,0,0,1,1,1,0,1,0,1
48708,3,0,1,1,11,3,2,0,1,1,2,1,2,0,2
48709,9,1,3,1,1,0,0,0,2,1,1,1,1,2,1
48710,8,1,2,0,2,0,0,0,2,1,1,0,1,0,1
48711,3,0,3,0,7,1,2,2,1,2,2,2,1,1,2
48712,8,2,1,1,2,0,2,0,1,2,1,1,2,0,1
48713,8,1,1,1,3,0,1,0,1,2,1,1,2,1,1
48714,11,3,2,0,0,0,0,0,2,1,1,0,1,0,1
48715,11,5,2,1,6,1,2,0,2,2,1,1,2,2,1
48716,0,0,0,0,11,3,2,1,2,2,2,2,2,2,2
48717,11,5,3,3,3,0,2,0,1,1,1,1,1,1,1
48718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48719,10,4,3,3,6,0,2,0,2,2,1,1,1,2,1
48720,2,0,0,0,9,1,3,0,1,2,2,0,2,0,2
48721,8,2,3,1,3,0,1,0,2,1,1,1,1,0,1
48722,6,1,2,0,6,0,2,0,2,2,1,0,1,0,1
48723,4,0,0,0,9,4,3,2,1,2,2,2,2,2,2
48724,5,1,2,1,9,2,3,1,1,2,1,2,2,0,2
48725,0,0,0,0,10,3,1,0,2,2,2,0,2,2,2
48726,2,0,1,0,9,3,2,1,2,1,2,2,1,1,2
48727,4,0,1,1,11,3,3,1,2,1,2,1,2,0,2
48728,7,3,0,0,4,0,3,0,2,1,1,0,2,0,1
48729,10,2,0,1,6,0,2,1,2,2,1,1,2,2,1
48730,8,1,2,1,1,0,0,0,2,1,1,1,1,0,1
48731,7,1,2,1,10,2,0,0,1,1,2,1,1,2,2
48732,9,3,1,1,2,0,2,0,2,1,1,1,1,0,1
48733,2,0,1,0,0,0,0,0,2,1,0,0,1,0,1
48734,10,2,2,0,2,0,1,0,1,1,1,0,2,0,1
48735,0,0,0,0,8,1,1,0,1,2,2,0,2,2,2
48736,9,3,1,1,1,0,2,0,1,1,1,1,2,0,1
48737,11,3,2,2,4,0,2,0,1,1,1,1,2,0,1
48738,2,0,0,0,10,2,3,1,2,2,2,2,2,2,2
48739,4,0,2,1,6,1,2,0,1,1,2,1,1,0,2
48740,1,0,0,0,6,0,1,0,2,2,0,0,2,2,2
48741,9,1,3,1,0,0,0,0,1,1,1,1,1,1,1
48742,1,0,0,0,11,3,4,2,2,2,2,2,2,2,2
48743,6,0,2,1,10,2,3,1,2,2,2,1,2,0,2
48744,2,0,1,0,1,0,0,0,1,1,0,0,1,0,1
48745,11,3,2,1,1,0,0,0,1,1,1,1,1,0,1
48746,2,0,1,0,8,1,2,0,1,2,2,0,1,1,2
48747,7,1,2,0,2,0,1,0,1,2,1,0,2,0,1
48748,1,0,0,0,10,2,2,0,2,2,2,0,2,0,2
48749,3,0,1,0,8,1,4,0,2,1,2,0,2,2,2
48750,0,0,0,0,10,1,4,1,2,2,2,2,2,0,2
48751,4,0,1,0,10,3,3,2,2,1,2,2,2,0,2
48752,10,1,3,1,2,0,1,0,1,1,1,1,1,0,1
48753,11,4,2,2,0,0,0,0,1,1,1,1,1,1,1
48754,9,2,2,0,1,0,0,0,2,1,1,0,1,0,1
48755,10,2,2,0,0,0,0,0,2,1,1,0,1,1,1
48756,3,0,0,0,10,2,4,2,2,1,2,2,2,0,2
48757,4,0,1,0,1,0,1,0,1,1,0,0,2,1,1
48758,3,0,1,0,11,3,2,1,1,2,2,2,1,1,2
48759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48760,11,2,2,0,2,0,1,0,2,1,1,0,1,1,1
48761,10,2,4,1,5,0,0,0,1,1,1,1,1,0,1
48762,0,0,1,0,9,2,2,1,2,2,2,2,2,0,2
48763,1,0,0,0,4,0,2,0,2,2,0,0,2,2,2
48764,11,2,2,0,0,0,0,0,1,1,1,0,1,1,1
48765,8,2,1,0,2,0,2,0,2,1,1,0,2,0,1
48766,1,0,0,0,10,2,1,0,2,1,2,0,2,0,2
48767,8,3,2,1,9,2,2,1,1,1,1,1,1,0,2
48768,3,0,2,0,11,2,2,1,2,2,2,2,2,2,2
48769,1,0,0,0,2,0,0,0,2,1,0,0,0,0,2
48770,9,3,1,1,1,0,0,0,1,2,1,1,1,0,1
48771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48772,10,4,3,1,2,0,1,0,2,1,1,1,1,0,1
48773,3,0,1,0,11,2,3,3,2,1,2,2,2,2,2
48774,10,2,2,0,2,0,1,0,1,1,1,0,1,0,1
48775,9,2,1,0,2,0,1,0,1,1,1,0,2,0,1
48776,10,2,3,0,0,0,0,0,1,1,1,0,1,2,1
48777,5,0,2,0,10,4,3,2,2,2,2,2,1,0,2
48778,10,2,2,1,3,0,2,1,1,1,1,2,1,2,1
48779,7,1,1,0,8,2,3,2,1,1,1,2,1,0,2
48780,10,3,1,0,8,2,3,2,1,2,2,2,1,0,1
48781,1,0,1,0,9,1,2,0,1,2,2,0,1,0,2
48782,0,0,0,0,11,3,2,0,2,2,2,0,2,2,2
48783,10,2,4,0,6,0,1,1,1,1,1,2,1,2,1
48784,6,1,3,1,11,7,3,0,2,2,2,1,2,0,2
48785,8,1,1,0,8,1,2,0,2,1,2,0,2,0,1
48786,9,1,2,0,0,0,0,0,2,1,1,0,1,1,1
48787,7,1,3,1,0,0,0,0,2,1,1,1,1,1,1
48788,2,0,0,0,10,2,2,1,1,1,2,2,2,0,2
48789,11,4,2,1,1,0,0,0,1,1,1,1,1,1,1
48790,1,0,0,0,11,1,2,1,2,2,2,2,2,2,2
48791,8,1,2,0,1,0,0,0,1,1,1,0,1,1,1
48792,11,3,2,0,0,0,0,0,2,1,1,0,1,1,1
48793,8,2,2,1,4,0,0,0,1,2,1,1,1,0,1
48794,3,0,1,0,11,2,3,2,2,1,2,2,2,1,2
48795,0,0,0,0,2,0,1,0,2,2,0,0,2,0,2
48796,3,0,2,0,11,4,2,1,2,2,2,2,1,1,2
48797,3,0,0,1,10,2,3,0,1,1,2,1,2,0,2
48798,4,0,1,0,9,3,2,1,2,2,2,2,2,2,2
48799,10,2,3,1,2,0,0,0,1,1,1,1,1,0,1
48800,3,0,0,0,8,1,3,0,1,1,2,0,2,1,2
48801,7,1,1,0,3,0,2,0,1,1,1,0,2,0,1
48802,11,2,1,0,1,0,1,0,2,1,1,0,2,1,1
48803,3,0,0,0,9,2,3,1,2,1,2,2,2,0,2
48804,10,2,3,1,3,0,1,1,1,1,1,2,2,0,1
48805,0,0,0,0,8,1,2,0,1,2,2,0,2,2,2
48806,2,0,1,0,11,2,2,0,2,2,2,0,2,0,2
48807,9,1,2,0,8,2,4,2,1,2,2,2,2,0,2
48808,7,1,3,0,5,0,0,1,1,2,1,2,1,0,1
48809,1,0,0,0,8,1,2,0,1,2,2,0,2,2,2
48810,10,2,2,0,3,0,0,0,2,1,1,0,1,0,1
48811,11,3,2,1,2,0,2,0,2,1,1,1,1,0,1
48812,0,0,0,0,7,1,2,0,2,2,2,0,2,2,2
48813,0,0,0,0,5,1,1,0,1,2,2,0,2,0,2
48814,2,0,1,0,11,2,2,0,2,2,2,0,2,0,2
48815,6,0,0,0,11,5,4,2,2,2,2,2,2,2,2
48816,2,0,0,0,10,3,3,0,2,2,2,0,2,0,2
48817,5,1,1,1,11,3,4,1,2,2,1,1,2,0,2
48818,11,3,1,1,1,0,0,0,1,1,1,1,1,1,1
48819,11,2,2,0,1,0,0,0,1,1,1,0,1,0,1
48820,7,1,2,1,2,0,0,0,1,1,1,1,1,1,1
48821,6,1,1,0,2,0,0,0,1,1,1,0,1,1,1
48822,11,3,4,1,1,0,0,0,1,1,1,1,1,1,1
48823,9,1,2,2,6,1,2,0,1,2,2,1,2,2,1
48824,7,1,1,0,3,0,2,1,2,2,1,2,2,0,1
48825,7,1,3,0,8,1,1,1,1,1,2,2,2,2,1
48826,11,4,2,1,5,0,1,0,1,1,1,1,1,1,1
48827,11,3,1,1,4,0,0,0,1,1,1,1,1,0,1
48828,0,0,0,0,11,2,2,0,2,2,2,0,2,0,2
48829,5,0,0,0,9,1,3,0,1,2,2,0,2,0,2
48830,3,0,0,0,10,2,3,1,2,1,2,2,2,0,2
48831,8,1,2,1,9,2,2,0,2,2,1,1,2,0,2
48832,9,2,2,0,9,2,2,1,1,1,1,2,1,2,2
48833,5,0,1,0,2,0,1,0,1,1,0,0,2,1,1
48834,11,3,2,1,2,0,0,0,1,1,1,1,1,0,1
48835,2,0,0,0,10,3,3,1,2,2,2,2,2,2,2
48836,7,1,2,0,8,1,2,0,2,2,1,0,1,0,2
48837,2,0,2,0,7,2,1,0,1,2,2,0,1,0,2
48838,0,0,0,0,9,1,2,0,2,2,2,0,2,0,2
48839,7,1,3,0,8,1,2,1,1,2,1,2,1,1,2
48840,6,0,1,0,6,1,1,0,1,2,2,0,2,0,2
48841,9,1,3,1,3,0,1,0,1,2,1,1,1,0,1
48842,0,0,0,0,6,1,1,0,1,2,2,0,2,2,2
48843,11,3,4,1,1,0,0,0,2,1,1,1,1,0,1
48844,8,1,2,1,8,1,3,1,2,1,1,1,1,0,2
48845,3,0,1,1,9,1,4,0,2,2,2,1,2,0,2
48846,4,0,3,0,6,0,1,0,1,1,0,0,2,0,2
48847,1,0,0,0,7,1,3,0,2,2,2,0,2,1,2
48848,10,2,1,0,0,0,0,0,1,1,1,0,1,1,1
48849,11,4,3,0,1,0,0,0,2,2,1,0,1,1,1
48850,10,3,3,1,1,0,0,0,1,1,1,1,1,0,1
48851,0,0,0,0,10,1,2,0,2,2,2,0,2,1,2
48852,9,2,1,0,2,0,2,1,1,1,1,2,2,0,1
48853,11,3,2,1,1,0,0,0,1,2,1,1,1,1,1
48854,3,0,2,0,11,5,3,2,1,2,2,2,1,2,2
48855,9,1,0,1,1,0,0,0,2,2,1,1,0,0,1
48856,0,0,0,0,11,3,3,0,2,2,2,0,2,0,2
48857,5,1,2,1,9,1,3,1,1,2,2,2,2,2,1
48858,2,0,0,0,7,1,2,1,2,1,2,2,2,2,2
48859,3,0,1,0,9,1,2,1,2,2,2,2,2,1,2
48860,11,3,2,1,3,0,2,0,2,2,1,1,2,1,1
48861,2,0,0,0,9,3,2,0,1,2,2,0,2,1,2
48862,10,2,3,1,5,0,0,0,2,2,1,1,1,2,1
48863,1,0,1,0,9,1,2,0,2,1,2,0,1,0,2
48864,9,1,0,0,8,3,4,1,1,1,2,2,2,2,2
48865,7,1,2,0,1,0,0,0,2,1,1,0,1,0,1
48866,11,5,2,1,4,0,1,0,2,2,1,1,2,2,1
48867,9,2,2,1,3,0,1,0,1,2,1,1,2,0,1
48868,10,2,1,0,5,0,2,0,1,2,1,0,1,0,1
48869,10,2,3,1,2,0,0,0,2,1,1,1,1,0,1
48870,4,0,0,0,10,2,1,1,2,2,2,2,2,0,2
48871,9,2,2,1,2,0,0,0,1,1,1,1,1,1,1
48872,11,3,2,0,4,0,1,0,1,1,1,0,2,2,1
48873,2,0,0,0,0,0,1,0,1,1,0,0,2,2,1
48874,9,2,1,0,2,0,0,0,2,1,1,0,1,0,1
48875,11,2,0,0,3,0,3,0,2,2,1,0,2,1,1
48876,9,3,3,0,3,0,0,1,1,1,1,2,1,1,1
48877,0,0,0,0,10,1,2,0,2,2,2,0,2,2,2
48878,3,0,2,0,5,0,1,1,1,2,0,2,1,0,2
48879,2,0,0,0,8,1,4,0,2,2,2,0,2,1,2
48880,10,2,1,0,3,0,0,0,1,1,1,0,1,1,1
48881,3,0,0,0,11,4,4,1,1,2,2,2,2,1,2
48882,9,4,4,0,11,5,0,1,2,1,1,2,1,0,2
48883,3,0,2,0,8,1,1,1,1,1,2,2,1,0,2
48884,11,4,2,1,2,0,1,0,2,1,1,1,2,0,1
48885,2,0,0,0,11,3,3,1,2,2,2,2,2,2,2
48886,4,1,1,0,10,2,1,0,2,1,1,0,1,0,2
48887,7,2,3,2,9,3,2,0,2,2,2,1,2,0,2
48888,11,4,3,1,1,0,0,0,2,1,1,1,1,1,1
48889,2,0,0,0,9,1,3,1,2,2,2,2,2,0,2
48890,9,1,0,1,1,0,1,0,1,1,1,1,2,1,1
48891,3,0,0,1,3,0,0,0,2,2,0,1,0,0,1
48892,8,1,2,1,2,0,1,0,1,1,1,1,2,0,1
48893,9,1,2,1,2,0,1,0,2,1,1,1,1,0,1
48894,0,0,0,0,8,2,2,0,2,2,2,0,2,0,2
48895,1,0,0,0,8,2,3,1,2,2,2,2,2,2,2
48896,11,2,1,1,3,0,1,0,1,1,1,1,1,1,1
48897,10,2,2,1,3,0,0,0,1,1,1,1,1,1,1
48898,2,0,0,0,10,2,3,1,1,1,2,2,2,0,2
48899,5,0,1,0,0,0,1,0,2,1,0,0,2,0,1
48900,10,1,2,0,0,0,0,0,1,1,1,0,1,1,1
48901,5,0,1,1,5,0,2,0,1,1,0,1,1,1,1
48902,0,0,0,0,4,0,2,0,1,2,0,0,2,2,2
48903,0,0,0,1,11,4,4,1,2,2,2,1,2,2,2
48904,1,0,1,0,11,3,2,0,2,2,2,0,1,0,2
48905,0,0,2,0,11,2,0,1,2,2,2,2,1,2,2
48906,8,1,1,1,1,0,1,0,1,1,1,1,2,0,1
48907,7,1,0,0,6,0,2,0,1,2,1,0,2,1,1
48908,11,3,2,1,1,0,1,0,1,2,1,1,1,0,1
48909,9,3,3,1,5,0,0,0,2,1,1,1,1,0,1
48910,1,0,0,0,11,3,2,0,1,2,2,0,2,2,2
48911,11,4,1,2,6,1,3,0,2,2,2,1,2,0,1
48912,5,0,2,0,10,2,1,1,1,1,2,2,2,0,2
48913,1,0,0,0,9,2,2,1,2,2,2,2,2,2,2
48914,11,4,4,0,7,1,1,1,1,1,1,2,1,0,1
48915,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1
48916,0,0,0,0,6,1,2,0,2,2,2,0,2,0,2
48917,0,0,0,0,8,1,1,0,2,2,2,0,2,2,2
48918,10,4,3,2,5,0,1,0,2,2,1,1,1,0,1
48919,0,0,0,0,9,2,3,1,1,2,2,2,2,2,2
48920,0,0,0,0,9,2,2,0,2,2,2,0,2,2,2
48921,1,0,0,0,6,0,3,0,1,2,0,0,2,1,2
48922,6,1,2,1,8,1,0,0,2,2,1,1,1,2,2
48923,10,3,1,0,6,1,0,1,2,1,1,2,1,0,1
48924,7,0,2,1,9,2,2,1,2,1,2,2,1,1,2
48925,6,1,0,1,7,1,3,0,2,2,2,1,2,0,1
48926,3,0,0,0,10,1,2,1,1,2,2,2,2,1,2
48927,2,0,2,0,11,3,0,1,2,2,2,2,1,0,2
48928,0,0,0,0,6,0,1,0,2,2,0,0,2,0,2
48929,11,3,2,0,0,0,0,0,1,1,1,0,1,0,1
48930,7,1,2,1,9,1,2,1,2,2,2,2,1,2,1
48931,2,0,1,0,11,2,2,0,2,2,2,0,2,2,2
48932,9,2,0,1,5,0,2,0,2,1,1,1,2,2,1
48933,4,1,1,0,11,3,2,2,2,2,1,2,2,2,2
48934,10,1,2,1,0,0,0,0,1,1,1,1,1,0,1
48935,5,0,1,0,10,4,4,2,1,1,2,2,2,1,2
48936,11,3,2,1,0,0,0,0,2,1,1,1,1,1,1
48937,3,0,3,0,10,2,0,1,2,2,2,2,1,2,2
48938,4,0,2,0,10,2,2,1,1,1,2,2,1,2,2
48939,11,3,3,2,4,0,1,0,1,1,1,1,1,0,1
48940,9,3,3,0,2,0,0,0,2,1,1,0,1,0,1
