,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
110,1,2,0,0,0,0,1,1,1,0,1,0,1
111,1,3,1,0,0,0,2,1,1,1,1,0,1
112,1,1,0,0,0,0,1,1,1,0,1,0,1
113,1,2,1,0,0,0,1,1,1,1,1,0,1
114,0,1,0,1,2,1,1,1,2,2,1,1,2
115,3,4,2,0,0,0,1,2,1,1,1,1,1
116,0,0,0,0,2,0,2,2,0,0,2,0,2
117,2,2,1,0,0,0,2,1,1,1,1,0,1
118,2,2,3,2,4,0,2,1,1,1,2,1,2
119,0,0,0,0,0,0,1,0,0,0,0,0,1
120,0,0,0,0,0,0,2,1,0,0,0,0,1
121,0,0,0,2,2,1,1,2,2,2,2,1,2
122,0,0,0,2,2,0,2,2,2,0,2,2,2
123,1,3,1,0,1,0,1,1,1,1,1,1,1
124,0,0,0,0,1,0,2,1,0,0,2,0,2
125,3,2,0,1,2,2,2,1,1,2,2,0,1
126,0,1,0,1,3,1,2,1,2,2,2,0,2
127,1,3,0,0,1,0,2,1,1,0,2,1,1
128,2,1,0,0,0,0,2,1,1,0,1,0,1
129,0,0,0,0,1,0,1,2,0,0,2,0,2
130,0,0,0,3,3,2,1,1,2,2,2,0,2
131,1,1,1,0,3,0,2,2,1,1,1,1,1
132,4,1,1,0,1,0,1,1,1,1,1,1,1
133,4,3,1,0,0,0,2,1,1,1,1,1,1
134,0,0,0,0,2,0,2,2,0,0,2,0,2
135,0,0,0,0,2,0,2,2,0,0,2,0,2
136,0,2,0,1,1,0,1,2,2,0,1,0,2
137,1,2,1,0,0,0,2,2,1,1,1,0,1
138,0,2,1,1,2,1,1,2,2,1,1,2,2
139,1,1,0,0,0,0,1,1,1,0,1,0,1
140,3,2,1,0,1,0,2,1,1,1,1,0,1
141,0,0,0,1,3,1,1,2,2,2,2,0,2
142,0,2,0,0,1,1,1,1,0,2,1,0,2
143,0,0,0,4,5,2,1,2,2,2,2,0,2
144,0,0,0,0,0,0,2,2,0,0,0,0,2
145,0,2,0,2,2,2,1,1,2,2,2,0,2
146,2,2,0,0,0,0,2,1,1,0,1,0,1
147,0,1,0,1,2,0,1,1,2,0,2,0,2
148,4,1,0,1,3,1,2,2,1,2,2,0,1
149,0,0,0,0,0,0,1,0,0,0,0,0,1
150,0,0,0,3,2,0,2,2,2,0,2,0,2
151,0,1,0,3,2,0,2,2,2,0,1,0,2
152,2,1,1,0,2,0,2,2,1,1,1,2,1
153,0,0,0,1,3,1,2,2,2,2,2,2,2
154,0,0,0,4,3,1,1,2,2,2,2,0,2
155,1,1,0,0,0,0,1,1,1,0,1,1,1
